"Request Id","Report Type","Request Status","Enterprise","Category","Sub Category","Severity","Average Response","Average Handling"
"5261","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
"5262","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 6 Hours","0 Days 6 Hours"
"5263","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 6 Hours","0 Days 6 Hours"
"5264","Request","Closed","Kellogg's","Trade Operations","Request for Nafdac Permit","Urgent","0 Days 3 Hours","0 Days 3 Hours"
"5265","Request","Closed","Kellogg's","Trade Operations","Request for Nafdac Permit","Urgent","0 Days 7 Hours","0 Days 7 Hours"
"5266","Request","Closed","Kellogg's","Trade Operations","Renewal of vehicle registration","High","0 Days 2 Hours","0 Days 2 Hours"
"5267","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","Medium","0 Days 1 Hours","0 Days 1 Hours"
"5268","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","1 Days 4 Hours","1 Days 4 Hours"
"5269","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","5 Days 21 Hours","5 Days 21 Hours"
"5270","Request","Closed","BASF","Trade Operations","Renewal of vehicle registration","High","0 Days 1 Hours","0 Days 1 Hours"
"5272","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"5273","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 3 Hours","0 Days 3 Hours"
"5274","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 3 Hours","0 Days 3 Hours"
"5275","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 3 Hours","0 Days 3 Hours"
"5276","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 3 Hours","0 Days 3 Hours"
"5277","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 3 Hours","0 Days 3 Hours"
"5278","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"5279","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"5280","Request","Closed","SBS LFTZ","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"5281","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Renewal of vehicle registration","High","0 Days 1 Hours","0 Days 1 Hours"
"5286","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"5287","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","High","0 Days 1 Hours","0 Days 1 Hours"
"5288","Request","Closed","CT LFTZ","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5289","Request","Work In Progress","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","Medium","","0 Days 3 Hours"
"5290","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","High","0 Days 3 Hours","0 Days 3 Hours"
"5291","Request","Work In Progress","Lekki Port","Trade Operations","Renewal of vehicle registration","High","","1 Days 0 Hours"
"5292","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","High","1 Days 17 Hours","1 Days 17 Hours"
"5293","Complaint","Closed","CNC LFTZ Enterprise","Legal","Change in name","High","0 Days 0 Hours","0 Days 0 Hours"
"5294","Request","Closed","Raffle Oil","IT","Internet Setup","High","0 Days 0 Hours","0 Days 0 Hours"
